"";"HF100";"HF101";"HF102";"HF103";"HF104";"HF105";"HF106";"HF107";"HF108";"HF109";"HF110";"HF112";"HF113";"HF114";"HF115";"HF116";"HF117";"HF119";"HF120";"HF124";"HF125";"HF126";"HF127";"HF129";"HF130";"HF131";"HF132";"HF133";"HF134";"HF135";"HF136";"HF137";"HF138";"HF139";"HF140";"HF142";"HF143";"HF144";"HF149";"HF151";"HF152";"HF153";"HF154";"HF156";"HF158";"HF159";"HF160";"HF161";"HF162";"HF163";"HF164";"HF169";"HF171";"HF172";"HF173";"HF178";"HF41";"HF46";"HF47";"HF50";"HF51";"HF52";"HF53";"HF54";"HF55";"HF56";"HF57";"HF58";"HF59";"HF60";"HF61";"HF62";"HF63";"HF64";"HF65";"HF66";"HF68";"HF71";"HF72";"HF73";"HF74";"HF75";"HF76";"HF77";"HF79";"HF80";"HF81";"HF82";"HF83";"HF84";"HF85";"HF90";"HF91";"HF92";"HF93";"HF94";"HF95";"HF96";"Domain";"Supergroup";"Division";"Subdivision";"Class";"Order";"Family";"Genus";"Species";"nutrition";"morphology";"locomotion";"habitat"
"Otu7";499;14;32;66;24;42;24;82;6;28;90;7;17;5;15;338;24;37;38;4;4;50;6;6;6;15;17;26;24;19;5;65;1;9;118;0;208;7;1;2;2;5;2;1;18;2;4;4;0;1;3;0;3;2;0;1;132;189;145;139;116;422;111;76;64;82;158;147;163;84;243;251;171;302;176;185;62;649;195;198;114;244;157;198;135;175;435;1235;61;92;127;102;49;51;91;63;85;74;"Eukaryota";"Obazoa";"Opisthokonta";"Fungi";"Ascomycota";"Pezizomycotina";"Leotiomycetes";"Tetracladium";NA;NA;NA;NA;NA
"Otu50";0;0;0;1;0;0;0;0;0;0;1;0;43;3;0;0;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1171;3;5;6;17;1;3;2;4;1;17;11;3;960;2;2;12;20;4;1;3;5;280;3;1;0;319;3;1;0;0;1;2;2;25;2;1;0;0;1;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Arthropoda";"Hexapoda";"Collembola";"Collembola_X";"Collembola_X_sp.";NA;NA;NA;NA
"Otu1334";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"Eukaryota";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Otu4";321;431;579;374;536;417;899;343;474;394;361;172;556;217;375;379;277;375;236;376;219;198;264;811;118;149;215;374;219;301;259;296;340;238;129;92;81;56;70;91;82;72;87;62;141;77;74;96;74;68;134;40;93;121;61;85;345;382;322;451;249;475;145;229;338;147;276;273;230;257;339;321;283;336;210;243;284;386;332;436;376;311;245;231;291;273;362;308;351;339;366;462;221;575;565;337;458;523;"Eukaryota";"Obazoa";"Opisthokonta";"Fungi";"Basidiomycota";"Agaricomycotina";"Tremellomycetes";"Cryptococcus";NA;NA;NA;NA;NA
"Otu17";66;46;109;89;109;92;99;82;59;88;87;64;77;49;163;56;97;67;58;140;52;34;32;33;25;33;47;57;33;60;45;45;30;21;16;17;14;11;11;10;17;36;7;8;24;23;22;17;4;17;11;9;8;1;19;17;65;40;55;43;32;42;54;38;27;58;58;83;67;41;67;121;66;98;79;87;32;19;136;75;70;56;67;115;79;41;49;51;89;58;88;63;48;84;97;89;79;87;"Eukaryota";"Obazoa";"Opisthokonta";"Fungi";"Ascomycota";"Pezizomycotina";"Dothideomycetes";NA;NA;NA;NA;NA;NA
"Otu1922";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;4;0;3;0;1;0;3;0;1;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Endomyxa";"Vampyrellida";NA;NA;NA;NA;NA;NA;NA
"Otu603";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;1;0;1;0;3;1;2;0;0;1;0;0;1;4;0;3;1;2;0;4;0;5;1;0;3;0;0;0;0;4;2;0;2;1;1;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Paracercomonadidae";"Paracercomonas";NA;"bacterivore";"naked_amoeboflagellate";"gliding";"soil_and_freshwater"
"Otu344";0;3;0;1;0;1;0;0;0;0;3;0;1;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;9;3;6;3;4;2;4;6;8;0;7;6;2;0;5;2;1;1;0;0;2;3;11;5;5;1;3;0;1;0;2;1;2;0;2;0;0;3;2;2;0;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Trebouxiophyceae";"Chlorellales";"Chlorellales_X";NA;NA;NA;NA;NA;NA
"Otu18";64;10;0;61;1;2;0;0;0;0;0;29;145;23;1;1;0;23;10;1;0;1;107;43;0;1;0;1;0;0;0;71;0;3;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;94;1;1;0;0;1;1;1;11;0;0;0;529;1;5;278;0;3;2;1;0;19;397;3;1;547;0;0;11;1;0;0;2;1;0;0;0;47;0;0;1;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Enoplea";"Enoplea_X";"Enoplea_XX";"Enoplea_XX_sp.";NA;NA;NA;NA
"Otu281";16;2;10;3;8;6;5;0;3;1;0;11;1;0;7;4;6;3;4;0;5;0;2;1;0;0;2;0;0;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;34;49;35;46;35;43;44;15;38;59;29;49;38;40;32;19;25;35;10;9;13;20;33;22;36;41;11;19;9;12;9;17;17;42;14;14;22;3;8;26;23;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Xanthophyceae";"Xanthophyceae_X";"Xanthophyceae_XX";NA;NA;NA;NA;NA;NA
