"";"HF100";"HF101";"HF102";"HF103";"HF104";"HF105";"HF106";"HF107";"HF108";"HF109";"HF110";"HF112";"HF113";"HF114";"HF115";"HF116";"HF117";"HF119";"HF120";"HF124";"HF125";"HF126";"HF127";"HF129";"HF130";"HF131";"HF132";"HF133";"HF134";"HF135";"HF136";"HF137";"HF138";"HF139";"HF140";"HF142";"HF143";"HF144";"HF149";"HF151";"HF152";"HF153";"HF154";"HF156";"HF158";"HF159";"HF160";"HF161";"HF162";"HF163";"HF164";"HF169";"HF171";"HF172";"HF173";"HF178";"HF41";"HF46";"HF47";"HF50";"HF51";"HF52";"HF53";"HF54";"HF55";"HF56";"HF57";"HF58";"HF59";"HF60";"HF61";"HF62";"HF63";"HF64";"HF65";"HF66";"HF68";"HF71";"HF72";"HF73";"HF74";"HF75";"HF76";"HF77";"HF79";"HF80";"HF81";"HF82";"HF83";"HF84";"HF85";"HF90";"HF91";"HF92";"HF93";"HF94";"HF95";"HF96";"Domain";"Supergroup";"Division";"Subdivision";"Class";"Order";"Family";"Genus";"Species";"nutrition";"morphology";"locomotion";"habitat"
"Otu50";0;0;0;1;1;0;1;0;1;0;1;0;63;5;0;0;0;0;0;8;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;666;3;2;2;6;0;1;1;8;0;11;13;2;563;3;2;12;19;2;2;3;2;183;4;0;0;164;5;2;1;0;4;1;1;17;0;0;1;0;0;0;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Arthropoda";"Hexapoda";"Collembola";"Collembola_X";"Collembola_X_sp.";NA;NA;NA;NA
"Otu1922";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;2;0;1;0;2;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Endomyxa";"Vampyrellida";NA;NA;NA;NA;NA;NA;NA
"Otu603";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;2;2;0;1;0;0;0;0;0;0;1;0;0;0;1;0;2;0;1;1;3;0;4;0;0;1;0;0;0;0;3;3;0;2;1;2;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Paracercomonadidae";"Paracercomonas";NA;"bacterivore";"naked_amoeboflagellate";"gliding";"soil_and_freshwater"
"Otu344";0;1;0;1;0;2;1;0;0;1;3;0;2;0;2;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;7;5;6;3;5;1;2;1;5;1;5;1;0;1;5;4;3;1;0;1;6;1;6;1;2;0;4;0;0;0;2;1;2;0;3;0;0;0;2;2;0;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Trebouxiophyceae";"Chlorellales";"Chlorellales_X";NA;NA;NA;NA;NA;NA
"Otu18";47;11;0;53;1;2;0;0;0;1;1;26;206;11;0;1;0;38;6;0;1;0;260;76;1;1;0;2;0;0;0;98;0;3;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;1;2;0;0;0;0;0;9;0;0;0;303;0;6;202;1;0;0;0;0;15;280;4;0;316;0;1;7;0;1;0;0;0;0;0;0;43;1;0;1;0;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Nematoda";"Enoplea";"Enoplea_X";"Enoplea_XX";"Enoplea_XX_sp.";NA;NA;NA;NA
"Otu281";12;0;12;0;12;12;3;1;5;0;0;6;2;0;7;2;5;3;4;0;3;0;2;1;0;0;2;0;0;4;3;2;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;25;16;22;22;23;20;16;14;14;26;19;29;13;27;19;11;11;19;5;4;7;21;22;14;20;26;15;17;15;8;11;7;12;31;9;16;16;10;4;19;25;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Xanthophyceae";"Xanthophyceae_X";"Xanthophyceae_XX";NA;NA;NA;NA;NA;NA
"Otu15";46;23;25;6;17;28;130;11;18;8;36;17;24;12;25;12;10;14;21;1;2;1;5;4;6;1;12;10;23;6;7;4;0;3;0;0;4;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0;1;0;29;36;29;60;35;68;4;110;117;20;44;58;112;36;65;114;53;46;53;62;16;69;69;92;41;67;32;84;35;164;48;247;22;54;53;29;30;30;22;49;38;27;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Peronosporomycetes";"Peronosporomycetes_X";"Peronosporales";"Pythium";NA;NA;NA;NA;NA
"Otu187";0;0;0;1;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;30;5;11;11;28;6;2;3;8;10;17;17;12;4;34;1;2;12;3;8;1;5;10;6;12;7;32;12;12;2;19;0;3;0;12;1;7;0;5;1;0;"Eukaryota";"TSAR";"Alveolata";"Ciliophora";"Spirotrichea";"Hypotrichia";"Oxytrichidae";"Oxytrichidae_X";"Oxytrichidae_X_sp.";NA;NA;NA;NA
"Otu1084";6;2;2;3;0;11;0;6;4;7;0;3;4;1;3;2;3;9;3;2;5;5;2;7;1;23;1;3;1;0;1;2;0;0;6;0;12;3;5;4;0;2;1;28;5;0;3;6;0;0;0;0;1;8;0;0;1;0;1;2;1;3;3;1;2;1;5;8;2;3;7;4;1;2;7;4;5;1;3;0;2;5;5;1;3;4;1;2;2;1;7;6;12;4;1;9;17;1;"Eukaryota";"TSAR";"Alveolata";"Ciliophora";"Colpodea";"Colpodea_X";"Colpodida";NA;NA;NA;NA;NA;NA
"Otu59";10;13;12;5;16;17;20;6;10;4;7;0;14;3;15;8;6;15;4;1;1;1;18;4;0;4;2;5;10;0;3;3;12;7;2;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;27;8;50;34;18;43;5;8;22;6;10;23;10;14;9;14;16;13;4;22;6;16;6;27;7;10;14;27;5;22;5;15;13;9;9;9;16;7;16;13;17;23;"Eukaryota";"Cryptista";"Cryptophyta";"Cryptophyta_X";"Cryptophyceae";"Cryptomonadales";"Cryptomonadales_X";"Cryptomonas";NA;NA;NA;NA;NA
"Otu133";19;8;10;7;1;9;7;2;5;4;8;11;18;0;7;3;0;9;0;0;0;0;1;5;0;1;1;3;2;0;0;0;2;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;1;6;0;11;2;8;1;5;15;5;3;2;0;12;9;4;19;10;12;6;7;4;7;5;4;7;1;9;4;3;10;4;6;10;34;5;4;14;4;9;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Flamellidae";"Flamella-lineage";NA;NA;NA;NA;NA;NA
"Otu20";35;0;28;4;1;11;0;0;89;1;0;0;0;0;12;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93;2;1;5;2;130;2;57;1;122;144;1;4;53;95;0;378;220;4;1;31;96;3;9;52;12;1;79;2;0;21;1;141;2;1;2;1;1;74;1;1;1;"Eukaryota";"Obazoa";"Opisthokonta";"Metazoa";"Tardigrada";"Tardigrada_X";"Tardigrada_XX";"Tardigrada_XXX";"Tardigrada_XXX_sp.";NA;NA;NA;NA
"Otu181";3;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;16;18;10;5;19;7;8;15;4;17;26;13;6;4;9;3;5;6;3;11;12;6;9;5;12;6;3;2;4;2;6;1;3;0;1;5;0;0;2;3;1;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Chlorophyceae";"Chlamydomonadales";"Chlamydomonadales_X";"Tetracystis";NA;NA;NA;NA;NA
"Otu121";14;4;6;2;9;8;13;7;11;8;12;0;2;3;3;5;2;8;3;1;2;2;4;2;0;5;1;5;3;16;4;0;25;1;3;0;0;1;5;0;0;0;1;8;1;0;0;0;0;0;0;0;0;0;0;0;19;28;9;37;6;30;9;16;15;11;19;19;8;17;20;16;20;8;11;27;1;20;11;24;8;11;6;12;11;24;6;5;8;4;6;7;19;2;11;5;18;27;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Paracercomonadidae";"Paracercomonas";"Paracercomonas_sp.";"bacterivore";"naked_amoeboflagellate";"gliding";"soil_and_freshwater"
"Otu627";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;2;0;0;1;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Stramenopiles";"Bigyra";"Sagenista";"Labyrinthulomycetes";"Amphifilaceae";NA;NA;NA;NA;NA;NA
