"";"HF100";"HF101";"HF102";"HF103";"HF104";"HF105";"HF106";"HF107";"HF108";"HF109";"HF110";"HF112";"HF113";"HF114";"HF115";"HF116";"HF117";"HF119";"HF124";"HF125";"HF126";"HF127";"HF129";"HF130";"HF131";"HF132";"HF133";"HF134";"HF135";"HF136";"HF137";"HF138";"HF139";"HF140";"HF142";"HF143";"HF144";"HF149";"HF151";"HF152";"HF153";"HF154";"HF156";"HF158";"HF159";"HF160";"HF161";"HF162";"HF163";"HF164";"HF169";"HF171";"HF172";"HF173";"HF178";"HF41";"HF46";"HF47";"HF50";"HF51";"HF52";"HF53";"HF54";"HF55";"HF56";"HF57";"HF58";"HF59";"HF60";"HF61";"HF62";"HF63";"HF64";"HF65";"HF66";"HF68";"HF71";"HF72";"HF73";"HF74";"HF75";"HF76";"HF77";"HF79";"HF80";"HF81";"HF82";"HF83";"HF84";"HF85";"HF90";"HF91";"HF92";"HF93";"HF94";"HF95";"HF96";"Domain";"Supergroup";"Division";"Subdivision";"Class";"Order";"Family";"Genus";"Species";"nutrition";"morphology";"locomotion";"habitat"
"Otu133";11;6;5;5;1;8;1;1;4;5;0;19;4;0;9;3;1;3;0;1;0;0;3;0;2;0;5;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;1;1;5;1;6;5;5;2;9;12;1;9;6;3;8;5;4;13;6;30;2;5;2;7;5;11;8;1;5;8;2;8;7;4;10;26;10;2;7;3;6;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Flamellidae";"Flamella-lineage";NA;NA;NA;NA;NA;NA
"Otu24";18;11;10;12;9;13;11;11;10;14;14;18;18;11;14;14;18;8;7;7;2;3;3;2;6;5;4;20;50;9;8;1;3;1;0;1;0;0;5;1;2;4;0;0;1;0;0;0;0;3;0;0;0;0;0;8;2;14;6;13;6;12;14;11;17;6;5;9;12;8;17;17;8;18;18;3;23;16;8;11;15;10;20;11;16;24;20;17;22;22;15;28;23;20;21;12;24;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Variosea_X";"Filamoebidae";"Filamoeba";NA;NA;NA;NA;NA
"Otu73";1;0;1;0;0;3;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;29;26;16;9;29;16;8;5;9;8;11;5;8;13;12;9;7;13;12;9;23;14;14;2;8;16;22;2;18;1;7;3;5;1;2;10;0;0;3;10;3;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Flamellidae";"WIM80-lineage";"WIM80-lineage_X";"WIM80-lineage_X_sp.";NA;NA;NA;NA
"Otu107";6;3;3;9;2;6;6;1;10;5;1;4;0;1;5;1;10;3;6;2;0;2;1;1;0;2;1;2;0;1;2;3;5;1;4;0;1;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;2;3;2;2;10;6;4;12;9;1;9;18;3;6;10;7;6;3;3;9;7;6;2;9;4;7;7;6;1;10;3;1;2;4;8;5;5;4;3;3;3;4;4;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";NA;NA;NA;NA;NA;NA;NA;NA
"Otu46";5;2;4;2;10;8;2;7;5;3;2;8;0;2;4;4;8;3;2;0;8;1;0;1;1;1;2;0;1;0;0;1;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;13;20;18;12;16;6;11;11;10;10;6;7;8;12;13;16;5;8;16;14;13;8;14;8;12;13;10;2;15;13;13;8;13;8;7;2;6;7;8;17;16;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Variosea_X";NA;NA;NA;NA;NA;NA;NA
"Otu458";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;2;3;2;1;3;3;2;0;2;2;1;0;2;1;3;0;0;0;3;0;2;1;1;0;1;0;0;0;0;0;1;0;0;0;0;2;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Fractovitellida";"Schizoplasmodiidae";NA;NA;NA;NA;NA;NA
"Otu118";0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;15;12;7;7;2;3;4;5;5;6;3;4;13;3;6;4;10;5;4;12;1;7;7;3;9;3;0;5;4;0;3;0;1;0;1;6;1;0;0;0;3;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Variosea_X";"Filamoebidae";"Filamoeba";NA;NA;NA;NA;NA
"Otu549";3;0;6;1;2;3;1;0;3;0;0;0;0;2;1;1;2;0;0;0;0;0;0;0;0;1;0;0;1;1;2;0;0;0;0;2;0;0;0;0;0;0;3;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;4;2;0;1;1;0;0;0;4;1;3;0;0;1;0;1;2;3;2;1;0;0;1;2;1;2;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Fractovitellida";"Schizoplasmodiidae";NA;NA;NA;NA;NA;NA
"Otu594";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Variosea_X";"Filamoebidae";"Filamoeba";NA;NA;NA;NA;NA
"Otu70";6;26;4;11;8;10;11;18;2;4;14;10;10;33;14;2;14;19;6;12;24;13;4;13;5;7;9;1;3;11;12;5;3;15;1;3;4;1;30;0;1;1;2;3;12;0;0;0;0;0;6;1;0;7;0;5;0;1;3;8;7;6;7;15;2;6;0;8;3;3;3;5;3;4;8;0;8;10;5;35;4;5;2;20;4;14;21;13;10;15;15;2;5;15;18;1;10;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Variosea_X";NA;NA;NA;NA;NA;NA;NA
