"";"HF100";"HF101";"HF102";"HF103";"HF104";"HF105";"HF106";"HF107";"HF108";"HF109";"HF110";"HF112";"HF113";"HF114";"HF115";"HF116";"HF117";"HF119";"HF120";"HF124";"HF125";"HF126";"HF127";"HF129";"HF131";"HF132";"HF133";"HF134";"HF135";"HF136";"HF137";"HF138";"HF139";"HF140";"HF142";"HF143";"HF144";"HF149";"HF151";"HF152";"HF153";"HF154";"HF156";"HF158";"HF159";"HF160";"HF161";"HF162";"HF163";"HF164";"HF169";"HF171";"HF172";"HF173";"HF178";"HF41";"HF46";"HF47";"HF50";"HF51";"HF52";"HF53";"HF54";"HF55";"HF56";"HF57";"HF58";"HF59";"HF60";"HF61";"HF62";"HF63";"HF64";"HF65";"HF66";"HF68";"HF71";"HF72";"HF73";"HF74";"HF75";"HF76";"HF77";"HF79";"HF80";"HF81";"HF82";"HF83";"HF84";"HF85";"HF90";"HF91";"HF92";"HF93";"HF94";"HF95";"HF96";"Domain";"Supergroup";"Division";"Subdivision";"Class";"Order";"Family";"Genus";"Species";"nutrition";"morphology";"locomotion";"habitat"
"Otu281";2;2;7;0;8;2;0;1;3;0;0;7;2;0;3;2;6;2;4;3;1;1;1;1;0;2;0;0;6;2;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;11;23;8;8;13;15;12;1;16;11;11;4;9;7;7;6;5;17;1;8;4;7;4;4;12;12;4;4;3;0;0;4;2;7;3;7;9;6;1;12;11;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Xanthophyceae";"Xanthophyceae_X";"Xanthophyceae_XX";NA;NA;NA;NA;NA;NA
"Otu15";22;18;13;5;9;13;37;9;8;8;27;19;19;21;14;17;7;8;11;0;4;3;4;4;4;5;11;29;7;2;1;0;3;2;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;22;24;23;30;19;19;17;52;47;15;18;34;45;22;24;41;25;25;20;19;10;49;31;38;21;39;13;20;27;43;30;76;14;21;19;17;16;14;14;22;22;12;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Peronosporomycetes";"Peronosporomycetes_X";"Peronosporales";"Pythium";NA;NA;NA;NA;NA
"Otu71";2;5;2;8;32;20;1;2;10;8;12;1;4;1;15;1;0;13;1;8;3;3;5;16;6;5;8;8;5;17;5;4;14;11;0;0;1;0;0;0;0;5;2;0;8;0;0;0;1;0;0;0;0;0;0;2;1;3;0;2;1;1;2;1;0;4;1;1;1;1;1;11;1;2;3;1;3;0;3;3;1;3;3;2;0;0;0;2;1;3;1;1;1;2;1;1;2;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Otu365";0;0;2;0;1;0;0;0;3;0;0;4;0;1;0;0;4;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;3;1;0;0;2;1;0;1;0;1;3;1;1;0;0;2;0;0;0;2;0;0;2;2;0;0;1;0;0;1;0;9;4;1;0;3;0;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Chrysophyceae";"Ochromonadales";"Ochromonadaceae";"Poterioochromonas";NA;NA;NA;NA;NA
"Otu128";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;13;6;2;3;6;4;0;3;6;13;4;4;7;2;2;0;0;4;1;0;6;2;1;2;1;3;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Xanthophyceae";"Xanthophyceae_X";"Xanthophyceae_XX";"Heterococcus";NA;NA;NA;NA;NA
"Otu341";0;2;0;3;2;0;0;8;1;0;3;0;1;6;4;0;0;2;0;5;3;3;2;4;1;2;0;0;11;2;0;19;5;4;3;2;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;8;0;0;2;1;0;1;0;5;1;2;2;1;2;0;2;1;0;3;5;0;4;1;1;0;3;0;2;2;1;0;0;4;0;2;1;0;0;2;3;1;1;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Peronosporomycetes";"Peronosporomycetes_X";"Peronosporomycetes_XX";"Peronosporomycetes_XXX";"Peronosporomycetes_XXX_sp.";NA;NA;NA;NA
"Otu146";0;0;1;1;1;0;0;0;2;0;1;1;5;0;1;2;0;2;3;1;0;1;0;1;0;3;4;0;0;0;4;2;4;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;2;1;4;4;0;1;2;2;3;0;5;0;1;0;2;9;2;2;2;28;0;1;2;2;2;4;1;2;3;2;3;5;4;1;6;8;4;3;1;4;0;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Chrysophyceae";"Ochromonadales";"Ochromonadales_clade-XII";"Ochromonadales_clade-XII_X";"Ochromonadales_clade-XII_X_sp.";NA;NA;NA;NA
"Otu720";0;0;1;1;0;2;0;1;0;0;0;1;0;1;0;0;0;0;0;1;8;0;0;0;2;2;3;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Chrysophyceae";"Synurales";"Synuraceae";"Mallomonas";NA;NA;NA;NA;NA
"Otu174";4;0;4;1;0;1;1;3;3;1;3;0;3;0;1;3;0;0;0;3;0;3;4;1;4;4;1;1;0;8;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;2;4;3;0;0;2;1;1;0;1;5;0;0;1;0;1;0;0;1;1;0;3;0;0;3;3;1;3;1;4;0;1;1;0;0;11;0;4;1;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Peronosporomycetes";"Peronosporomycetes_X";"Peronosporomycetes_XX";"Peronosporomycetes_XXX";"Peronosporomycetes_XXX_sp.";NA;NA;NA;NA
"Otu75";1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;25;13;13;7;0;8;5;2;5;5;15;6;9;25;7;3;30;6;3;30;3;10;8;4;7;5;9;6;4;9;2;0;26;5;5;11;1;0;0;6;1;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Peronosporomycetes";"Peronosporomycetes_X";"Peronosporales";"Lagenidium";NA;NA;NA;NA;NA
