,HF100,HF101,HF102,HF103,HF104,HF105,HF106,HF107,HF108,HF109,HF110,HF112,HF113,HF114,HF115,HF116,HF117,HF119,HF120,HF124,HF125,HF126,HF127,HF129,HF130,HF131,HF132,HF133,HF134,HF135,HF136,HF137,HF138,HF139,HF140,HF142,HF143,HF144,HF149,HF151,HF152,HF153,HF154,HF156,HF158,HF159,HF160,HF161,HF162,HF163,HF164,HF169,HF171,HF172,HF173,HF178,HF41,HF46,HF47,HF50,HF51,HF52,HF53,HF54,HF55,HF56,HF57,HF58,HF59,HF60,HF61,HF62,HF63,HF64,HF65,HF66,HF68,HF71,HF72,HF73,HF74,HF75,HF76,HF77,HF79,HF80,HF81,HF82,HF83,HF84,HF85,HF90,HF91,HF92,HF93,HF94,HF95,HF96,taxonomy,nutrition,morphology,locomotion,habitat
Otu7,765,26,56,128,128,69,30,183,34,85,237,45,25,30,74,1282,50,91,76,13,28,187,20,37,8,41,72,89,86,48,13,241,14,31,421,8,686,42,4,4,12,6,10,7,61,11,12,6,0,5,11,2,11,3,4,8,219,292,302,415,182,1288,268,218,171,198,283,303,395,239,597,787,361,719,410,486,222,1816,563,1221,187,406,352,586,449,772,1527,3238,200,92,143,117,62,95,359,115,146,97,Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Leotiomycetes;Tetracladium,NA,NA,NA,NA
Otu50,0,0,0,1,5,0,1,0,1,0,1,0,71,14,0,0,0,0,0,24,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1998,3,6,10,22,5,7,11,11,4,29,23,11,2562,8,10,26,54,8,9,9,7,764,14,4,1,695,15,4,2,0,8,3,2,26,2,1,1,0,1,0,0,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Hexapoda;Collembola;Collembola_X;Collembola_X_sp.;,NA,NA,NA,NA
Otu1334,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,1,1,0,0,0,1,2,1,1,2,0,0,2,1,0,1,0,0,0,1,3,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,Eukaryota,NA,NA,NA,NA
Otu4,511,684,927,748,3213,737,1377,797,1435,1239,872,682,888,781,1881,1540,678,983,425,1021,690,703,1000,3168,399,549,798,1139,723,947,845,1057,1622,679,450,323,224,245,179,270,315,140,290,158,490,305,332,246,233,152,385,184,570,496,179,364,567,608,626,1406,418,1403,359,685,834,416,503,545,557,654,891,1011,589,844,516,680,924,1038,843,2639,645,530,563,733,1080,1321,1312,828,1071,339,390,552,268,954,2558,588,679,681,Eukaryota;Obazoa;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Tremellomycetes;Cryptococcus,NA,NA,NA,NA
Otu17,113,75,183,166,707,146,146,187,179,249,191,192,126,159,637,233,222,197,121,376,165,88,108,146,74,133,170,196,132,223,126,157,146,46,41,48,59,52,38,32,42,58,26,20,89,80,101,34,20,45,32,35,59,17,50,67,98,63,103,161,60,140,129,108,73,140,122,168,157,99,177,441,122,243,214,252,101,44,350,471,113,108,144,286,259,228,176,109,255,58,101,83,60,136,498,176,129,125,Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Dothideomycetes,NA,NA,NA,NA
Otu1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,6,0,7,0,1,0,3,0,1,0,0,6,0,0,0,6,0,0,2,0,0,0,0,0,0,1,0,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Endomyxa;Vampyrellida,NA,NA,NA,NA
Otu603,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,11,6,3,5,1,5,1,2,0,0,4,0,0,1,10,0,10,5,13,1,6,0,12,2,0,6,0,2,0,0,4,4,0,6,2,4,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Cercomonadida;Paracercomonadidae;Paracercomonas,bacterivore,naked_amoeboflagellate,gliding,soil_and_freshwater
Otu344,0,3,0,3,0,2,1,0,0,3,3,0,2,0,8,1,0,0,0,0,0,0,2,5,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,9,16,8,18,5,13,10,19,3,16,10,7,2,20,9,8,4,0,1,9,5,51,5,8,3,13,4,6,4,5,4,2,0,4,0,0,12,2,3,0,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Trebouxiophyceae;Chlorellales;Chlorellales_X,NA,NA,NA,NA
Otu18,98,16,0,106,6,2,0,2,1,2,1,113,226,68,2,6,1,58,17,1,2,3,452,197,1,4,0,4,1,0,0,236,0,5,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,148,3,4,2,0,3,2,1,33,2,0,0,1192,1,19,927,2,6,3,2,3,41,1098,25,1,909,1,2,37,1,1,0,2,1,0,0,0,81,4,0,2,0,Eukaryota;Obazoa;Opisthokonta;Metazoa;Nematoda;Enoplea;Enoplea_X;Enoplea_XX;Enoplea_XX_sp.;,NA,NA,NA,NA
Otu281,24,4,17,5,64,14,6,1,12,1,0,34,2,1,27,7,12,4,7,3,10,2,4,3,0,1,4,1,0,6,3,5,2,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,54,101,105,70,95,108,107,47,92,102,58,108,75,94,87,46,48,93,26,42,43,59,182,32,60,110,44,78,66,23,33,55,17,45,14,20,28,46,11,35,30,Eukaryota;TSAR;Stramenopiles;Gyrista;Xanthophyceae;Xanthophyceae_X;Xanthophyceae_XX,NA,NA,NA,NA
Otu733,387,1422,810,904,4575,993,897,1484,2268,2974,3552,794,1755,1367,2056,2609,1120,3936,572,3187,4320,5917,8792,4845,3459,4811,7702,4217,6387,4090,5671,5057,12829,4833,4567,6993,6496,5800,6094,5712,6778,3779,4112,6342,7337,7532,7508,5720,6867,4127,4488,4644,15414,6432,5279,11136,164,305,87,2170,393,388,194,333,298,216,236,173,564,287,380,484,385,338,2160,622,148,318,186,876,344,293,269,313,725,1378,404,321,1007,160,352,259,118,267,1514,671,458,272,Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Leotiomycetes;Leotiomycetes_X;Leotiomycetes_X_sp.;,NA,NA,NA,NA
Otu988,31,53,44,137,140,173,11,357,42,158,26,456,24,36,123,106,64,54,243,172,88,170,44,44,42,290,85,64,31,30,34,106,42,87,265,73,12,293,89,50,109,20,48,32,56,21,17,1,23,72,15,148,6,10,16,8,115,80,93,33,74,15,100,193,85,186,66,58,34,42,112,199,124,41,90,74,242,64,99,685,31,127,99,223,201,184,1050,136,35,173,32,52,406,249,57,77,82,19,Eukaryota;Obazoa;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Tremellomycetes,NA,NA,NA,NA
Otu113,5,3,5,10,31,17,8,2,4,7,0,44,4,23,32,6,6,7,33,18,4,9,10,0,3,13,8,6,3,0,0,8,2,6,11,3,2,13,1,0,1,3,36,2,4,0,3,0,7,4,32,11,2,342,0,42,45,47,32,34,11,79,54,19,53,57,46,31,31,36,36,65,18,22,87,66,29,17,71,371,31,57,58,90,26,44,18,30,12,12,28,11,151,10,15,3,23,10,Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Sordariomycetes,NA,NA,NA,NA
