"";"HF100";"HF101";"HF102";"HF103";"HF104";"HF105";"HF106";"HF107";"HF108";"HF109";"HF110";"HF112";"HF113";"HF114";"HF115";"HF116";"HF117";"HF119";"HF120";"HF124";"HF125";"HF126";"HF127";"HF129";"HF130";"HF131";"HF132";"HF133";"HF134";"HF135";"HF136";"HF137";"HF138";"HF139";"HF140";"HF142";"HF143";"HF144";"HF149";"HF151";"HF152";"HF153";"HF154";"HF156";"HF158";"HF159";"HF160";"HF161";"HF162";"HF163";"HF164";"HF169";"HF171";"HF172";"HF173";"HF178";"HF41";"HF46";"HF47";"HF50";"HF51";"HF52";"HF53";"HF54";"HF55";"HF56";"HF57";"HF58";"HF59";"HF60";"HF61";"HF62";"HF63";"HF64";"HF65";"HF66";"HF68";"HF71";"HF72";"HF73";"HF74";"HF75";"HF76";"HF77";"HF79";"HF80";"HF81";"HF82";"HF83";"HF84";"HF85";"HF90";"HF91";"HF92";"HF93";"HF94";"HF95";"HF96";"Domain";"Supergroup";"Division";"Subdivision";"Class";"Order";"Family";"Genus";"Species";"nutrition";"morphology";"locomotion";"habitat"
"Otu1922";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Endomyxa";"Vampyrellida";NA;NA;NA;NA;NA;NA;NA
"Otu603";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;1;0;1;0;0;0;0;0;0;2;0;2;2;1;1;1;0;2;0;0;1;0;0;0;0;0;3;0;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Paracercomonadidae";"Paracercomonas";NA;"bacterivore";"naked_amoeboflagellate";"gliding";"soil_and_freshwater"
"Otu344";0;2;0;1;0;1;1;0;0;1;2;0;1;0;1;0;0;0;0;0;0;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;1;2;3;1;1;1;5;0;0;1;3;0;1;2;2;0;0;0;0;2;2;1;2;1;0;1;0;1;2;1;1;0;1;0;0;2;1;0;0;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Trebouxiophyceae";"Chlorellales";"Chlorellales_X";NA;NA;NA;NA;NA;NA
"Otu281";14;2;5;1;7;2;4;1;3;0;0;5;1;1;9;1;6;0;3;0;3;1;1;1;0;0;1;1;0;3;2;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;13;16;8;6;15;13;10;3;9;19;10;10;9;15;15;11;5;10;5;6;5;10;22;10;14;13;6;8;7;3;9;4;9;17;8;7;13;6;7;12;11;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Xanthophyceae";"Xanthophyceae_X";"Xanthophyceae_XX";NA;NA;NA;NA;NA;NA
"Otu15";32;17;15;1;14;13;62;6;6;5;27;9;11;32;29;19;13;9;15;1;4;1;6;4;11;0;4;7;22;3;2;2;0;2;1;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;19;20;24;39;16;44;10;75;61;13;28;32;71;35;48;69;40;23;23;29;9;48;43;52;23;44;18;63;22;72;17;143;18;27;40;17;8;13;13;26;25;20;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Peronosporomycetes";"Peronosporomycetes_X";"Peronosporales";"Pythium";NA;NA;NA;NA;NA
"Otu187";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;18;3;6;4;17;6;1;0;1;5;9;10;14;3;20;3;2;4;0;6;0;3;7;7;8;5;27;5;9;4;7;0;1;0;8;1;8;0;6;0;0;"Eukaryota";"TSAR";"Alveolata";"Ciliophora";"Spirotrichea";"Hypotrichia";"Oxytrichidae";"Oxytrichidae_X";"Oxytrichidae_X_sp.";NA;NA;NA;NA
"Otu1084";1;4;0;3;0;1;0;4;5;5;3;0;2;3;0;2;8;10;0;1;4;2;2;3;1;14;1;2;1;0;1;2;0;0;2;1;7;2;3;1;0;0;0;17;4;0;1;4;0;0;0;0;1;9;0;0;2;0;2;1;1;0;2;2;2;4;5;3;0;5;0;3;3;0;4;3;4;2;0;0;1;2;0;1;2;2;0;1;3;1;7;3;6;1;2;3;7;1;"Eukaryota";"TSAR";"Alveolata";"Ciliophora";"Colpodea";"Colpodea_X";"Colpodida";NA;NA;NA;NA;NA;NA
"Otu59";4;9;9;2;8;8;14;7;4;5;7;0;9;13;11;14;4;2;1;2;0;0;11;2;2;2;2;1;7;0;1;0;4;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;11;5;35;16;9;26;1;4;8;5;6;13;8;4;3;15;9;9;7;10;0;14;2;8;6;14;6;13;6;9;4;6;5;3;2;6;8;5;9;12;14;12;"Eukaryota";"Cryptista";"Cryptophyta";"Cryptophyta_X";"Cryptophyceae";"Cryptomonadales";"Cryptomonadales_X";"Cryptomonas";NA;NA;NA;NA;NA
"Otu133";13;7;6;8;0;5;5;1;0;6;5;4;11;0;7;6;2;7;0;1;0;0;1;2;0;3;0;3;1;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;1;0;7;0;5;0;4;8;5;2;1;1;3;8;0;4;10;6;5;4;2;7;1;6;3;1;2;1;3;5;2;4;6;9;3;6;10;3;3;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Flamellidae";"Flamella-lineage";NA;NA;NA;NA;NA;NA
"Otu181";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;11;22;4;3;9;3;3;2;2;9;9;10;3;2;6;2;2;6;2;4;3;2;9;2;7;2;3;1;2;0;5;1;1;0;1;1;0;0;2;1;0;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Chlorophyceae";"Chlamydomonadales";"Chlamydomonadales_X";"Tetracystis";NA;NA;NA;NA;NA
"Otu121";8;4;7;1;6;6;7;1;3;4;5;0;1;3;3;3;2;4;1;2;2;1;1;3;6;0;0;3;2;9;2;1;17;0;2;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;15;10;6;15;4;14;1;7;7;5;11;10;4;13;7;9;9;3;11;10;2;10;14;9;4;19;1;10;5;10;5;4;8;1;4;3;7;3;12;3;13;14;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Paracercomonadidae";"Paracercomonas";"Paracercomonas_sp.";"bacterivore";"naked_amoeboflagellate";"gliding";"soil_and_freshwater"
"Otu627";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Stramenopiles";"Bigyra";"Sagenista";"Labyrinthulomycetes";"Amphifilaceae";NA;NA;NA;NA;NA;NA
"Otu29";36;4;11;5;4;5;4;7;10;9;5;3;6;5;11;11;12;7;0;1;1;4;6;5;1;0;1;0;13;4;4;3;8;8;0;0;1;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;10;3;3;3;6;16;8;6;3;6;5;9;6;10;15;17;17;6;6;16;0;11;11;7;16;9;2;4;10;16;6;8;7;4;8;1;9;5;13;6;16;30;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Cercomonadidae";"Eocercomonas";"Eocercomonas_sp.";"omnivore";"naked_amoeboflagellate";"gliding";"soil_and_freshwater"
"Otu365";0;0;2;0;0;0;0;1;1;0;0;4;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;1;2;1;0;1;0;3;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;2;1;1;1;0;6;3;3;2;1;0;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Chrysophyceae";"Ochromonadales";"Ochromonadaceae";"Poterioochromonas";NA;NA;NA;NA;NA
