"";"HF100";"HF101";"HF102";"HF103";"HF104";"HF105";"HF106";"HF107";"HF108";"HF109";"HF110";"HF112";"HF113";"HF114";"HF115";"HF116";"HF117";"HF119";"HF120";"HF124";"HF125";"HF126";"HF127";"HF129";"HF130";"HF131";"HF132";"HF133";"HF134";"HF135";"HF136";"HF137";"HF138";"HF139";"HF140";"HF142";"HF143";"HF144";"HF149";"HF151";"HF152";"HF153";"HF154";"HF156";"HF158";"HF159";"HF160";"HF161";"HF162";"HF163";"HF164";"HF169";"HF171";"HF172";"HF173";"HF178";"HF41";"HF46";"HF47";"HF50";"HF51";"HF52";"HF53";"HF54";"HF55";"HF56";"HF57";"HF58";"HF59";"HF60";"HF61";"HF62";"HF63";"HF64";"HF65";"HF66";"HF68";"HF71";"HF72";"HF73";"HF74";"HF75";"HF76";"HF77";"HF79";"HF80";"HF81";"HF82";"HF83";"HF84";"HF85";"HF90";"HF91";"HF92";"HF93";"HF94";"HF95";"HF96";"Domain";"Supergroup";"Division";"Subdivision";"Class";"Order";"Family";"Genus";"Species"
"Otu1922";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Endomyxa";"Vampyrellida";NA;NA;NA
"Otu603";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;1;1;0;0;3;0;1;0;0;0;0;0;0;4;0;3;1;1;0;0;0;1;2;0;0;0;0;0;0;2;2;0;2;0;3;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Cercomonadida";"Paracercomonadidae";"Paracercomonas";NA
"Otu344";0;2;0;1;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;1;1;3;2;0;0;1;3;0;2;4;2;0;6;6;1;2;0;0;0;2;10;2;0;1;3;0;1;0;2;0;1;0;1;0;0;1;1;1;0;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Trebouxiophyceae";"Chlorellales";"Chlorellales_X";NA;NA
"Otu281";8;1;6;1;10;4;2;0;3;1;0;8;0;0;1;1;4;2;1;0;2;0;3;1;0;0;3;0;0;5;1;1;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;14;15;14;11;10;22;14;3;15;21;12;18;16;24;12;15;9;12;3;4;9;10;16;16;16;14;6;9;8;2;10;15;10;20;6;10;11;9;4;11;10;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Xanthophyceae";"Xanthophyceae_X";"Xanthophyceae_XX";NA;NA
"Otu15";39;15;19;5;16;15;93;4;3;7;24;15;16;13;21;8;14;10;18;0;3;2;6;5;11;2;5;10;8;7;6;2;0;2;0;0;2;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;1;0;38;29;22;40;19;51;11;86;68;14;34;48;96;32;46;92;48;31;29;29;9;50;60;49;34;52;17;66;21;91;24;171;21;25;47;20;24;20;23;39;24;21;"Eukaryota";"TSAR";"Stramenopiles";"Gyrista";"Peronosporomycetes";"Peronosporomycetes_X";"Peronosporales";"Pythium";NA
"Otu187";0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;21;2;4;5;32;3;1;1;2;6;12;5;13;4;20;3;1;9;3;3;1;4;7;9;10;4;29;9;7;3;8;0;1;0;7;2;11;0;3;2;0;"Eukaryota";"TSAR";"Alveolata";"Ciliophora";"Spirotrichea";"Hypotrichia";"Oxytrichidae";"Oxytrichidae_X";"Oxytrichidae_X_sp."
"Otu1084";5;3;1;1;0;6;0;2;3;4;1;3;3;0;1;2;1;9;1;0;6;4;3;5;2;9;0;4;1;0;0;2;0;0;5;3;2;4;3;2;0;1;0;16;2;0;1;3;0;0;0;0;1;11;0;0;1;0;2;1;1;3;1;1;3;1;3;6;1;7;5;0;2;1;9;3;4;3;5;0;3;5;2;1;2;3;2;1;4;0;5;1;7;5;1;5;8;1;"Eukaryota";"TSAR";"Alveolata";"Ciliophora";"Colpodea";"Colpodea_X";"Colpodida";NA;NA
"Otu59";8;10;5;7;11;7;15;3;5;6;5;0;11;0;8;5;3;10;2;0;0;1;14;6;3;4;1;6;4;0;2;1;6;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;4;30;20;8;28;1;10;12;8;11;14;5;12;8;16;15;9;4;13;3;18;10;41;10;6;8;14;6;13;2;2;10;7;7;6;11;3;15;15;10;22;"Eukaryota";"Cryptista";"Cryptophyta";"Cryptophyta_X";"Cryptophyceae";"Cryptomonadales";"Cryptomonadales_X";"Cryptomonas";NA
"Otu133";20;4;6;5;1;5;4;1;0;5;5;6;11;0;8;0;0;12;0;1;0;0;1;2;0;3;2;6;0;0;0;0;1;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1;1;5;0;5;1;3;0;5;7;5;4;4;1;10;7;7;6;9;1;3;5;1;7;1;6;6;0;7;3;3;2;2;6;4;18;5;6;8;2;5;"Eukaryota";"Amoebozoa";"Evosea";"Evosea_X";"Variosea";"Flamellidae";"Flamella-lineage";NA;NA
"Otu181";2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;15;16;3;3;10;1;11;8;2;9;25;14;11;5;5;3;4;2;2;3;2;6;11;6;3;3;5;1;4;0;3;1;1;0;0;2;0;0;2;0;0;"Eukaryota";"Archaeplastida";"Chlorophyta";"Chlorophyta_X";"Chlorophyceae";"Chlamydomonadales";"Chlamydomonadales_X";"Tetracystis";NA
