"";"HF100";"HF101";"HF102";"HF103";"HF104";"HF105";"HF106";"HF107";"HF108";"HF109";"HF110";"HF112";"HF113";"HF114";"HF115";"HF116";"HF117";"HF119";"HF120";"HF124";"HF125";"HF126";"HF127";"HF129";"HF130";"HF131";"HF132";"HF133";"HF134";"HF135";"HF136";"HF137";"HF138";"HF139";"HF140";"HF142";"HF143";"HF144";"HF149";"HF151";"HF152";"HF153";"HF154";"HF156";"HF158";"HF159";"HF160";"HF161";"HF162";"HF163";"HF164";"HF169";"HF171";"HF172";"HF173";"HF178";"HF41";"HF46";"HF47";"HF50";"HF51";"HF52";"HF53";"HF54";"HF55";"HF56";"HF57";"HF58";"HF59";"HF60";"HF61";"HF62";"HF63";"HF64";"HF65";"HF66";"HF68";"HF71";"HF72";"HF73";"HF74";"HF75";"HF76";"HF77";"HF79";"HF80";"HF81";"HF82";"HF83";"HF84";"HF85";"HF90";"HF91";"HF92";"HF93";"HF94";"HF95";"HF96";"Domain";"Supergroup";"Division";"Subdivision";"Class";"Order";"Family";"Genus";"Species";"nutrition";"morphology";"locomotion";"habitat"
"Otu59";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;2;0;20;0;0;0;0;7;0;0;2;11;0;0;0;0;0;4;2;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Allapsidae";"Group-Te";"Group_Te_sp.";NA;NA;NA;NA
"Otu1";21;66;68;71;120;77;121;145;96;135;140;132;61;158;37;125;88;116;72;104;135;156;133;104;143;110;140;112;93;129;129;108;142;92;135;118;133;137;130;132;118;152;171;154;146;145;166;154;121;137;127;136;135;112;122;142;115;89;40;114;130;84;109;115;39;162;123;109;45;122;107;114;105;74;150;116;161;70;90;81;95;70;69;51;53;73;85;103;99;103;118;85;126;62;13;77;96;59;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Allapsidae";"Group-Te";"Group_Te_sp.";NA;NA;NA;NA
"Otu20";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7;0;0;1;2;0;0;31;0;0;2;0;0;1;12;0;0;0;0;10;0;1;3;0;0;7;0;1;10;8;7;10;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Sandonidae";"Sandonidae_X";"Sandonidae_X_sp.";"bacterivore";"naked_flagellate";"gliding";"soil_and_freshwater"
"Otu208";1;2;3;7;2;0;1;10;5;3;2;9;1;2;1;0;4;3;0;1;2;0;1;12;1;1;3;0;0;9;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;8;5;2;4;0;2;0;2;0;2;2;0;0;2;3;0;8;0;2;0;2;1;10;0;3;0;4;5;1;9;1;7;10;1;0;0;2;2;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Allapsidae";"Group-Te";"Group_Te_sp.";NA;NA;NA;NA
"Otu163";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Allapsidae";"Group-Te";"Group_Te_sp.";NA;NA;NA;NA
"Otu5";0;8;0;2;0;2;0;0;0;0;0;0;0;0;1;0;2;2;0;0;0;0;4;0;0;4;11;0;7;5;4;6;0;16;0;40;3;1;10;0;4;9;0;4;15;7;1;19;47;15;39;35;19;45;30;19;0;0;2;0;1;3;3;0;1;1;0;5;0;1;0;1;0;0;4;0;0;2;5;1;3;0;0;0;0;0;7;3;2;2;1;0;0;0;2;0;0;12;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Glissomonadida_X";"Glissomonadida_XX";"Glissomonadida_XX_sp.";NA;NA;NA;"soil_and_freshwater"
"Otu30";0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;1;0;8;0;0;0;2;0;4;0;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Allapsidae";"Allantion";"Allantion_sp.";"bacterivore";"naked_flagellate";"gliding";"soil_and_freshwater"
"Otu15";2;5;1;0;0;8;0;2;1;0;0;5;0;0;4;2;0;1;0;0;9;0;0;35;7;18;0;13;6;0;9;8;0;4;0;2;0;21;13;1;21;0;1;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;2;1;4;0;1;0;1;0;0;4;0;4;2;0;0;0;0;1;0;8;0;1;0;0;0;1;1;12;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Allapsidae";"Allapsidae_X";"Allapsidae_X_sp.";"bacterivore";"naked_flagellate";"gliding";"soil_and_freshwater"
"Otu111";0;3;7;0;0;0;1;0;0;1;0;0;6;9;6;7;3;14;10;4;0;0;1;0;3;5;0;12;0;0;0;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;12;0;0;1;5;4;2;4;0;1;0;0;4;0;6;1;0;1;0;1;2;0;13;5;8;1;0;0;0;0;4;27;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Allapsidae";"Group-Te";"Group_Te_sp.";NA;NA;NA;NA
"Otu25";0;0;0;0;0;7;4;4;1;4;2;0;9;0;1;0;0;1;0;4;1;1;1;2;0;6;1;0;0;1;2;4;0;0;0;0;20;0;0;0;0;0;0;8;0;0;0;0;11;0;0;0;0;0;0;0;28;46;113;52;12;38;26;7;0;9;10;12;4;19;0;1;2;1;1;0;2;0;0;0;0;4;8;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Allapsidae";"Group-Te";"Group_Te_sp.";NA;NA;NA;NA
"Otu41";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;1;0;0;0;2;3;0;0;1;1;0;0;1;0;0;0;0;1;1;7;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Imbricatea";"Euglyphida";"Euglyphidae";"Tracheleuglypha";"Tracheleuglypha_dentata";"omnivore";"testate_cell_silica";"gliding";"soil_and_freshwater"
"Otu109";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;1;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Eukaryota";"TSAR";"Rhizaria";"Cercozoa";"Filosa-Sarcomonadea";"Glissomonadida";"Sandonidae";"Sandona";"Sandona_sp.";"bacterivore";"naked_flagellate";"gliding";"soil_and_freshwater"
