,HF100,HF101,HF102,HF103,HF104,HF105,HF106,HF107,HF108,HF109,HF110,HF112,HF113,HF114,HF115,HF116,HF117,HF119,HF120,HF124,HF125,HF126,HF127,HF129,HF130,HF131,HF132,HF133,HF134,HF135,HF136,HF137,HF138,HF139,HF140,HF142,HF143,HF144,HF149,HF151,HF152,HF153,HF154,HF156,HF158,HF159,HF160,HF161,HF162,HF163,HF164,HF169,HF171,HF172,HF173,HF178,HF41,HF46,HF47,HF50,HF51,HF52,HF53,HF54,HF55,HF56,HF57,HF58,HF59,HF60,HF61,HF62,HF63,HF64,HF65,HF66,HF68,HF71,HF72,HF73,HF74,HF75,HF76,HF77,HF79,HF80,HF81,HF82,HF83,HF84,HF85,HF90,HF91,HF92,HF93,HF94,HF95,HF96,taxonomy,nutrition,morphology,locomotion,habitat
Otu197,18,10,12,5,70,24,7,0,0,16,0,9,0,40,0,24,3,24,2,0,0,1,9,25,38,6,36,10,1,0,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,1,26,0,1,1,Unassigned,NA,NA,NA,NA
Otu123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned,NA,NA,NA,NA
Otu59,0,0,0,0,0,0,0,1,0,0,0,0,1,16,0,0,0,0,0,22,13,0,59,0,0,0,0,7,0,0,2,32,0,0,0,0,7,19,18,0,0,0,0,0,14,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Group-Te;Group_Te_sp.;,NA,NA,NA,NA
Otu1,206,211,119,264,347,288,392,567,651,364,293,1027,312,1874,236,405,632,177,1408,428,629,1078,387,504,299,164,299,140,166,130,161,431,329,236,548,599,1322,631,1209,1051,613,1227,4215,1052,1096,1211,1459,1784,1375,2673,1178,1544,1560,471,3777,2315,686,445,445,662,308,151,801,631,692,1539,579,387,422,366,596,836,313,400,498,407,1718,638,567,324,432,724,481,505,525,265,325,401,225,718,375,503,1191,609,558,466,724,346,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Group-Te;Group_Te_sp.;,NA,NA,NA,NA
Otu20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,1,6,0,0,31,0,0,3,0,6,5,83,0,0,19,0,88,7,5,19,0,0,144,0,36,71,54,112,39,208,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Sandonidae;Sandonidae_X;Sandonidae_X_sp.;,bacterivore,naked_flagellate,gliding,soil_and_freshwater
Otu208,4,3,6,20,8,2,3,34,51,3,3,51,2,31,6,11,19,4,36,1,13,2,6,38,1,2,5,0,0,9,2,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,17,20,7,15,6,21,18,5,61,4,6,2,3,6,1,3,22,17,2,116,5,11,1,10,20,44,1,22,0,17,6,4,54,9,39,118,13,3,0,12,4,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Group-Te;Group_Te_sp.;,NA,NA,NA,NA
Otu26,4,10,0,0,0,0,0,4,0,0,0,0,0,1,0,5,8,10,0,0,5,5,18,3,1,0,14,8,1,0,0,16,21,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,30,0,66,0,0,0,0,2,0,0,Unassigned,NA,NA,NA,NA
Otu7,0,0,0,80,0,0,1,1,0,0,1,1,2,76,0,0,1,0,1,43,120,843,79,1,48,25,65,1,2,0,2,7,4,111,299,2,1,5,278,0,203,0,1333,69,12,33,178,0,0,0,0,0,0,0,0,0,3,1,3,1,255,0,0,2119,7,312,1,5,6,2,3,4,27,44,7,0,30,0,0,0,8,0,0,0,34,0,8,0,3,3,0,0,83,0,0,0,0,0,Unassigned,NA,NA,NA,NA
Otu52,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,19,0,0,2,0,15,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned,NA,NA,NA,NA
Otu163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Glissomonadida;Allapsidae;Group-Te;Group_Te_sp.;,NA,NA,NA,NA
